id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
183671,Porsche,911 Carrera,2005,110000,Gasoline,325.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,M/T,Silver,Black,At least 1 accident or damage reported,Yes,9900
169758,Porsche,Cayenne AWD,2022,8200,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Black,None reported,Yes,73600
186933,Toyota,Tacoma SR5,2018,38000,Gasoline,278.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,35000
77037,Mercedes-Benz,GLA 250 Base 4MATIC,2015,38000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Red,None reported,Yes,45000
156278,INFINITI,QX60 Luxe,2020,34672,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,44500
187092,Mercedes-Benz,E-Class E 350,2014,107000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,15500
92226,Cadillac,DeVille Base,1993,2950,–,–,4-Speed A/T,Silver,Red,At least 1 accident or damage reported,Yes,48000
43646,Dodge,Sprinter 2500 High Roof,2003,135000,Diesel,154.0HP 2.7L 5 Cylinder Engine Diesel Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,8995
163758,BMW,M4 Base,2018,46000,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,White,None reported,Yes,66500
102340,Land,Rover Range Rover HSE,2005,92813,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,8000
24033,Toyota,Sequoia Limited,2003,150000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Gray,None reported,Yes,11995
178579,Porsche,Cayenne Turbo S,2019,7968,Gasoline,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,127899
79883,Mercedes-Benz,SL-Class SL500 Roadster,2010,60000,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,18900
119201,Mercedes-Benz,AMG G 63 Base,2017,28700,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Brown,None reported,Yes,27500
172806,BMW,M4 Base,2015,98000,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,21500
123196,Toyota,Highlander Limited,2019,39105,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Blueprint,Graphite,None reported,Yes,29497
7538,Nissan,Rogue SL,2019,29558,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,Magnetic Black,Charcoal,At least 1 accident or damage reported,Yes,36570
115522,Cadillac,DTS Luxury II,2006,122945,Gasoline,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,At least 1 accident or damage reported,Yes,8300
21674,Ferrari,Urus Base,2020,2492,Gasoline,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,Yes,159500
23317,Lexus,LS 500 F Sport,2007,140000,Gasoline,416.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,12000
82871,Lincoln,MKZ Base,2008,110250,Gasoline,263.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,9450
135351,Land,Rover Range Rover Sport HST MHEV,2020,52000,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,54500
6525,GMC,Acadia Denali,2021,12209,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Onyx Black,Jet Black,None reported,,28995
125003,Ford,Transit-350 Base,2017,119000,E85 Flex Fuel,275.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,Black,None reported,Yes,16500
10039,Lexus,GX 460 Premium,2021,1315,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,16488
20089,Maserati,Ghibli S Q4,2018,35999,Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,33490
11840,Jeep,Grand Cherokee L Limited,2020,26088,Gasoline,3.4L V6 24V PDI DOHC Twin Turbo,8-Speed Automatic,Metallic,Global Black,None reported,,37405
143752,BMW,640 i,2013,76474,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,10500
95254,BMW,M4 Base,2014,92000,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,24200
9794,Nissan,Maxima SV,2012,185000,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,10000
45804,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,2020,17994,Gasoline,3.0L I6 24V GDI DOHC Turbo,9-Speed Automatic,Black,Black,None reported,Yes,32324
80031,Kia,Sorento EX,2019,39700,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,25500
100184,Jeep,Gladiator Overland,2020,4500,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,48000
122477,BMW,740e xDrive iPerformance,2019,5541,Plug-In Hybrid,2.0 Liter Turbo,Automatic,Black Sapphire Metallic,Black,None reported,,47998
169406,Ford,Mustang Premium,2007,160900,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,10500
29634,Acura,MDX 3.7L Advance,2012,104733,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,16995
37046,Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,2016,56985,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,White,None reported,Yes,46900
72871,Land,Rover Range Rover HSE,2017,30700,Gasoline,385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,Yes,37899
36407,Porsche,911 Carrera,2017,9728,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,None reported,Yes,17900
58518,Chevrolet,Silverado 1500 RST,2020,19200,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,72999
149231,Land,Rover Range Rover Sport HSE,2011,66500,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,21750
73262,Land,Rover Range Rover Sport HST MHEV,2020,29700,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,White,Black,None reported,Yes,44700
153981,Chevrolet,Camaro 2SS,2018,57300,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,34700
96295,Jeep,Liberty Limited,2010,160000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,7300
72244,Toyota,Tundra Platinum,2023,54225,Gasoline,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,None reported,Yes,89999
83153,Tesla,Model Y Long Range,2022,4786,,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,White,None reported,Yes,67250
65507,Ford,Explorer Limited,2009,100000,Gasoline,292.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,Black,None reported,Yes,10999
132133,Lexus,RX 450h Base,2014,42200,Hybrid,245.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Black,Black,At least 1 accident or damage reported,Yes,16999
171027,Chevrolet,Camaro 2SS,2022,40000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,43000
64013,Nissan,Titan XD S,2020,6900,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Gray,None reported,Yes,70000
86324,Ford,Expedition EL XLT,2010,195500,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gold,Brown,None reported,Yes,75000
131845,Toyota,Corolla iM Base,2007,199000,Gasoline,137.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Black,None reported,Yes,5995
158884,Chevrolet,Tahoe Premier,2020,10232,Gasoline,5.3L V8 16V GDI OHV,6-Speed Automatic,Silver Ice Metallic,Jet Black,None reported,Yes,62425
44951,Lexus,LX 570 Three-Row,2020,22000,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,46900
153172,Dodge,Challenger SRT8,2015,47238,–,–,A/T,Blue,White,None reported,Yes,97993
52150,Lexus,IS 350 F Sport,2020,44000,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,62499
180291,Ford,Transit-350 XLT,2015,194000,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Gray,None reported,Yes,15500
6989,Audi,Q7 3.0T Prestige,2019,70500,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,37900
150500,Volvo,C70 T5,2011,61000,Gasoline,227.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,At least 1 accident or damage reported,Yes,8800
134985,Dodge,Ram 2500 Laramie Quad Cab,2002,188000,Gasoline,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,17500
103712,RAM,ProMaster 3500 High Roof,2021,147834,Gasoline,3.6L V6 24V MPFI DOHC,6-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,41986
15753,Jeep,Gladiator Overland,2022,9601,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Sting Gray Clearcoat,Black,None reported,Yes,44340
163336,Mercedes-Benz,S-Class S 580 4MATIC,2023,67260,Hybrid,496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,None reported,Yes,43900
146557,Tesla,Model Y Performance,2023,7000,,455.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,Black,None reported,Yes,50000
143739,Mercedes-Benz,AMG GT R,2019,90818,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,Obsidian Black Metallic,Black,None reported,,62425
168437,Audi,A8 L 55,2009,73500,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,6-Speed A/T,White,Black,None reported,Yes,4750
28923,INFINITI,Q50 Premium,2014,87066,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,22500
80259,Mercedes-Benz,E-Class E 350 4MATIC,2012,98300,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,15300
162261,Toyota,Avalon Limited,2019,81778,Gasoline,2.5L I4 16V PDI DOHC Turbo,6-Speed Automatic,Gray,Black,None reported,Yes,28825
139101,Audi,e-tron Prestige,2020,10011,,Electric,1-Speed Automatic,White,Charcoal,None reported,,42599
111976,Jeep,Wrangler Sport,2001,149460,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,None reported,Yes,9999
70715,Ford,Mustang Shelby GT500,2009,10900,Gasoline,540.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,46999
28105,Audi,A8 L 55,2021,22000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Black,Black,None reported,Yes,56900
140992,Porsche,Boxster S,2004,122945,Gasoline,280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Beige,None reported,Yes,18795
45189,Porsche,911 Carrera Cabriolet,2007,138000,Gasoline,300.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,10000
76163,Land,Rover Range Rover Sport 3.0 Supercharged HST,2023,542,Gasoline,V6,Automatic,Black,Black,None reported,,46998
101002,Acura,ILX Technology Plus Package,2011,109580,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,8500
119577,Mercedes-Benz,E-Class E 350 4MATIC,2009,83500,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,,,13700
172119,Chevrolet,Camaro 2SS,2016,6600,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,M/T,Black,Black,None reported,Yes,16000
112142,Chevrolet,Trailblazer RS,2021,42479,Gasoline,1.3L I3 12V GDI DOHC Turbo,9-Speed Automatic,Mosaic Black Metallic,Jet Black,At least 1 accident or damage reported,Yes,39853
118743,Mercedes-Benz,GL-Class GL 450 4MATIC,2015,71273,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,53000
89810,Ford,Transit-350 XLT,2021,16000,Gasoline,275.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,32600
60581,Land,Rover Range Rover Sport SE MHEV,2020,33000,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,60500
1389,Jeep,Gladiator Rubicon,2022,26000,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,54000
68989,Mercedes-Benz,C-Class C 300 4MATIC,2021,30301,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,White,Black,None reported,Yes,41885
152170,Jeep,Patriot Latitude,2015,109000,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,20470
50327,Chevrolet,Corvette Stingray w/2LT,2021,15000,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,74995
93475,Ford,Bronco Outer Banks Advanced,2022,1500,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,Black,None reported,Yes,60000
164138,Maserati,Ghibli S Q4 GranSport,2022,20000,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,145000
120293,Jeep,Wrangler Rubicon Hard Rock,2017,50780,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Orange,Black,None reported,Yes,47000
175968,Ford,Bronco XLT,1995,130000,–,–,A/T,Blue,Gray,None reported,Yes,15000
87504,Cadillac,Escalade ESV Platinum,2022,18000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,95000
54857,Land,Rover Range Rover Sport Supercharged,2014,103000,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,15500
181546,Volvo,Model Y Performance,2012,63450,,455.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,White,None reported,Yes,13995
46934,Acura,TLX V6 Advance,2019,26000,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,36000
121531,Cadillac,Escalade ESV Platinum,2007,104000,Gasoline,403.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,11995
148475,Land,Rover Defender S,2023,250,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Green,Blue,None reported,Yes,71000
62518,Jaguar,XJ Vanden Plas,2007,80000,Gasoline,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,–,None reported,Yes,119500
155440,Chevrolet,Corvette Stingray w/2LT,2023,5500,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,68995
72878,Audi,A5 2.0T Premium,2016,73000,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,22500
118904,INFINITI,Q70 3.7X,2021,51850,Gasoline,330.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,46900
180222,Nissan,350Z Touring,2007,90000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Gray,None reported,Yes,12000
132017,Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,2017,47000,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,21500
135415,Mercedes-Benz,AMG G 63 Base,2021,17500,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,69000
23604,BMW,M3 CS,2023,7200,Gasoline,453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,65499
